Date,Open,High,Low,Close,Volume,Adj Close
2016-01-20,75.580002,75.800003,73.870003,75.059998,167000,75.059998
2016-01-19,77.139999,77.510002,75.559998,76.529999,106500,76.529999
2016-01-15,76.959999,77.900002,76.099998,76.690002,163900,76.690002
2016-01-14,77.330002,79.00,76.489998,78.68,146000,78.68
2016-01-13,78.120003,78.910004,76.730003,77.07,149600,77.07
2016-01-12,78.550003,78.599998,76.440002,77.889999,131100,77.889999
2016-01-11,78.849998,79.379997,77.220001,78.169998,110600,78.169998
2016-01-08,79.980003,81.529999,78.510002,78.75,192200,78.75
2016-01-07,79.839996,80.389999,79.190002,80.339996,184100,80.339996
2016-01-06,80.709999,84.010002,80.349998,80.720001,148900,80.720001
2016-01-05,82.32,82.879997,81.25,82.00,119400,82.00
2016-01-04,82.839996,83.559998,81.169998,82.029999,146600,82.029999
2015-12-31,85.32,85.449997,83.660004,83.660004,97500,83.660004
2015-12-30,84.75,85.559998,83.410004,85.440002,96300,85.440002
2015-12-29,84.730003,85.410004,84.32,85.169998,80700,85.169998
2015-12-28,84.699997,84.989998,82.93,84.410004,93600,84.410004
2015-12-24,84.629997,85.190002,84.349998,84.690002,44100,84.690002
2015-12-23,83.349998,84.809998,82.389999,84.610001,133400,84.610001
2015-12-22,81.309998,83.199997,80.559998,82.970001,150600,82.970001
2015-12-21,83.330002,83.599998,79.68,81.099998,197100,81.099998
2015-12-18,82.860001,84.290001,75.610001,82.690002,754800,82.690002
2015-12-17,84.809998,85.440002,83.339996,83.379997,144800,83.379997
2015-12-16,83.699997,84.889999,83.160004,84.769997,125900,84.769997
2015-12-15,84.419998,85.540001,83.010002,83.459999,159200,83.459999
2015-12-14,82.790001,85.260002,82.209999,83.830002,203700,83.830002
2015-12-11,82.970001,85.489998,82.400002,82.730003,165100,82.730003
2015-12-10,83.800003,84.779999,83.599998,84.129997,159500,84.129997
2015-12-09,84.68,85.620003,83.239998,83.800003,164800,83.800003
2015-12-08,85.699997,86.760002,82.800003,84.75,195000,84.75
2015-12-07,87.959999,88.400002,86.019997,86.690002,129900,86.690002
2015-12-04,86.620003,88.370003,86.290001,88.18,146700,88.18
2015-12-03,86.980003,87.93,86.160004,86.639999,120300,86.639999
2015-12-02,87.25,88.00,86.589996,86.809998,134200,86.809998
2015-12-01,85.879997,88.029999,85.690002,87.489998,136700,87.489998
2015-11-30,85.870003,88.279999,85.389999,85.720001,128900,85.720001
2015-11-27,84.529999,86.260002,84.419998,85.699997,91200,85.699997
2015-11-25,84.199997,85.870003,84.110001,84.870003,142100,84.870003
2015-11-24,82.970001,84.309998,82.970001,84.239998,131400,84.239998
2015-11-23,83.639999,83.959999,82.059998,83.00,174200,83.00
2015-11-20,83.00,84.080002,82.849998,83.32,171700,83.32
2015-11-19,82.669998,84.230003,82.019997,82.480003,179200,82.480003
2015-11-18,81.419998,83.129997,81.150002,82.970001,139500,82.970001
2015-11-17,81.230003,82.489998,80.779999,81.129997,189000,81.129997
2015-11-16,81.419998,82.139999,80.620003,81.620003,160500,81.620003
2015-11-13,80.790001,82.389999,80.489998,81.220001,161500,81.220001
2015-11-12,81.660004,83.900002,80.440002,81.449997,161100,81.449997
2015-11-11,83.089996,83.550003,82.059998,82.389999,157900,82.389999
2015-11-10,81.989998,83.919998,81.919998,82.610001,183600,82.610001
2015-11-09,83.470001,83.970001,81.57,81.959999,168800,81.959999
2015-11-06,81.919998,83.800003,81.629997,83.589996,172800,83.589996
2015-11-05,82.370003,82.849998,81.669998,82.510002,123000,82.510002
2015-11-04,82.220001,82.410004,81.440002,82.309998,179700,82.309998
2015-11-03,81.129997,82.660004,81.129997,82.220001,310300,82.220001
2015-11-02,80.860001,82.220001,80.379997,81.559998,253700,81.559998
2015-10-30,80.900002,82.239998,80.150002,81.290001,243300,81.290001
2015-10-29,80.75,81.360001,78.099998,80.629997,232600,80.629997
2015-10-28,80.519997,81.480003,79.93,80.610001,295700,80.610001
2015-10-27,80.379997,81.559998,79.669998,80.440002,156200,80.440002
2015-10-26,81.610001,83.43,80.50,80.910004,137700,80.910004
2015-10-23,83.00,83.589996,81.650002,82.010002,200600,82.010002
2015-10-22,81.57,84.919998,81.099998,81.870003,219400,81.870003
2015-10-21,81.639999,82.68,81.160004,81.470001,188800,81.470001
2015-10-20,81.900002,87.080002,81.559998,81.949997,196700,81.549997
2015-10-19,82.50,83.269997,81.470001,82.18,191100,81.778878
2015-10-16,83.849998,84.370003,82.610001,83.010002,263100,82.604828
2015-10-15,83.519997,84.330002,83.019997,83.50,327200,83.092434
2015-10-14,84.370003,85.480003,83.160004,83.400002,192100,82.992924
2015-10-13,84.449997,85.669998,83.410004,84.360001,214300,83.948237
2015-10-12,86.209999,87.300003,84.339996,84.519997,257200,84.107452
2015-10-09,85.790001,88.699997,85.790001,86.75,182600,86.326571
2015-10-08,84.949997,87.00,84.669998,86.309998,164900,85.888716
2015-10-07,84.389999,85.620003,82.870003,85.029999,207200,84.614965
2015-10-06,82.32,84.370003,82.32,84.019997,178000,83.609893
2015-10-05,81.910004,82.849998,81.339996,82.449997,320500,82.047557
2015-10-02,79.339996,81.400002,79.339996,81.389999,194800,80.992733
2015-10-01,80.550003,81.739998,78.589996,79.870003,234800,79.480155
2015-09-30,81.089996,81.089996,79.379997,80.25,230800,79.858298
2015-09-29,81.139999,81.449997,79.57,80.129997,173300,79.738881
2015-09-28,81.910004,82.57,80.129997,81.019997,187800,80.624536
2015-09-25,82.339996,88.919998,81.660004,82.010002,166900,81.609709
2015-09-24,82.050003,86.209999,80.889999,81.919998,196100,81.520145
2015-09-23,83.230003,84.00,81.93,82.519997,159300,82.117215
2015-09-22,83.720001,84.309998,82.589996,83.099998,183200,82.694385
2015-09-21,84.730003,85.449997,83.900002,84.360001,163000,83.948237
2015-09-18,83.839996,85.629997,83.839996,84.290001,400600,83.878579
2015-09-17,83.959999,85.239998,83.110001,84.839996,251800,84.42589
2015-09-16,82.440002,84.32,82.43,84.25,146300,83.838774
2015-09-15,81.480003,82.519997,81.379997,82.269997,173700,81.868435
2015-09-14,82.989998,83.279999,80.970001,81.440002,137000,81.042492
2015-09-11,82.309998,83.540001,81.669998,82.970001,125200,82.565023
2015-09-10,82.300003,83.400002,82.089996,82.739998,180300,82.336142
2015-09-09,83.43,84.440002,81.970001,82.419998,152000,82.017704
2015-09-08,83.160004,84.540001,82.480003,82.839996,189300,82.435652
2015-09-04,81.870003,82.989998,81.449997,82.379997,168300,81.977898
